text,acq,alum,barley,bop,carcass,castor-oil,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,cotton,cotton-oil,cpi,cpu,crude,dfl,dlr,dmk,earn,fuel,gas,gnp,gold,grain,groundnut,groundnut-oil,heat,hog,housing,income,instal-debt,interest,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-oil,livestock,lumber,meal-feed,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-oil,palmkernel,pet-chem,platinum,potato,propane,rand,rape-oil,rapeseed,reserves,retail,rice,rubber,rye,ship,silver,sorghum,soy-meal,soy-oil,soybean,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tea,tin,trade,veg-oil,wheat,wpi,yen,zinc
"USDA WINTER/SPRING POTATO ESTIMATES. The U.S. Agriculture Department estimated 1987 winter potato production, based on March 1 conditions, at 2,788,000 cwts (100 lbs), vs 2,764,000 cwts indicated last month and 2,991,000 cwts last year. The department estimated winter potato area for harvest at 11,900 acres, vs 11,900 acres last month and 12,300 acres in 1986. The yield per harvested acre for winter potatoes is estimated at 234 cwts per acre, vs 243 cwts last year. The department also projected 1987 spring potato crop area planted at 79,300 cwts, vs 77,400 cwts last year, and area for harvest at 76,700 acres, vs 75,900 acres harvested last year. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC DRIVING TO CAPTURE BRAZIL WHEAT MARKET - USDA. The European Community, EC, sold 75,000 tonnes of soft wheat at a subsidized price of between 85 and 89 dlrs per tonne FOB for March delivery in a continuing bid to establish itself in the Brazilian wheat market, the U.S. Agriculture Department said. The sale sharply undercut the U.S. offer of 112 dlrs per tonne FOB for 33,000 tonnes of wheat, it said in its latest report on Export Markets for U.S grains. EC sales to Brazil total about 225,000 tonnes during 1986/87 (July-June) in stark contrast to only 50,000 tonnes in the 1985/86 season, it said. The increasing presence of EC wheat in Brazil comes at a time when the Brazilian Wheat Board, BWB, expects the wheat import market will expand to 3.4 mln tonnes from the current forecast of 3.0 mln in the 1986/87 year. The BWB cites record consumption and an eventual decline in domestic production, and says government plans to lower the guaranteed price of wheat from 242 dlrs per tonne to 180 dlrs will contribute to greater import demand, the USDA said. It said the BWB expects the U.S. to be major supplier of the additional 400,000 tonnes, but commitments for purchase of U.S. wheat through two-thirds of 1986/87 year total only 600,000 tonnes versus 700,000 a year ago. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"U.S. FROZEN ORANGE JUICE STOCKS - MARCH 1 102,618,000 GALLONS VS 97,111,000 YEAR AGO. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOG AND CATTLE SLAUGHTER GUESSTIMATES. Chicago Mercantile Exchange floor traders and commission house representatives are guesstimating today's hog slaughter at about 295,000 to 308,000 head versus 305,000 week ago and 308,000 a year ago. Cattle slaughter is guesstimated at about 128,000 to 132,000 head versus 130,000 week ago and 126,000 a year ago. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNUSUALLY DRY WEATHER AFFECTS CHINA'S AGRICULTURE. Abnormally warm and dry weather over most parts of China is seriously affecting crops, the New China News Agency said. It said the drought has made rice planting difficult in eight provinces, including Guangxi, Sichuan and Hunan. Plant diseases and insect pests have increased in wheat-producing areas, it said. The agency said some areas of Guangxi, Hubei, Shanxi and other provinces have been suffering a drought for more than seven months. The agency said the dry weather had reduced the amount of water stored by more than 20 pct compared with last March, lowered the water level of many rivers, reduced hydroelectric power supplies and caused water shortages for industry and consumers. The upper reaches of the Yangtze are at their lowest levels in a century, causing many ships to run aground and making harbour manoeuvres difficult, it said. The drought has also increased the number of forest fires. More than 1,000 fires in southern China had destroyed 13,340 hectares of forest by mid-February, it said. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EGYPT REJECTS VEG OIL OFFERS, TO RETENDER. Egypt rejected all offers at a vegetable oil import tender yesterday for unspecified amounts of sunflowerseed oil and/or cottonseed oil, traders said. It has asked for a renewal of offers on March 24. Exporters said they were not prepared to offer material on Egypt's new landed contract terms which include a clause, ""free from radioactive contamination."" Offers submitted were on old contract terms, all of which were rejected. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"IOWA BEEF LIFTS LOCKOUT AT DAKOTA CITY. Iowa Beef Processors Inc is lifting a lockout at its Dakota City, Nebraska, processing plant and plans to resume operations March 16, United Food and Commercial Workers (UFCW) Union spokesman Allen Zack said. Iowa Beef mailed a letter to members of UFCW Local 222 informing them a lockout imposed by the company December 14 would be lifted and meatpackers could return to work under Iowa Beef's ""revised, last and best final offer,"" Zack said. Iowa Beef had closed the plant indefinitely in mid-December because it said it had no alternative to threats by meatpackers to disrupt operations. About 2,800 members of Local 222 are affected by the shutdown. A 3-1/2 year labor contract at the plant expired December 13. Reuter ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BONN EXPRESSES SUPPORT FOR U.S. ON EC VEG OIL TAX. The West German government expressed support for the U.S. Position in opposing the proposed European Community tax on vegetable oils and fats, a U.S. Embassy spokesman said. The spokesman, speaking from Bonn, said, ""We have good reason to think West Germany holds to its resistance to the proposed tax."" Several top government officials told the American Soybean Association and the National Soybean Processors Association delegations there was no reason for American producers and processors to pay for EC agriculture, the spokesman said. European agriculture was facing severe problems, but both the Community and the U.S. Should work closely within the framework provided by the General Agreement on Tariffs and Trade, he said. The delegations will continue their top level meetings in Bonn today but will not issue a statement before returning to the U.S. At the weekend. The EC and the U.S. Realised the tax issue would stay on the agenda for several months and there were indications that both sides would have to prepare for some tough negotiations, the spokesman said. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"COFFEE PRICE FALL SHORT TERM - DUTCH ROASTERS. This morning's sharp decline in coffee prices, following the breakdown late last night of negotiations in London to reintroduce International Coffee Organization, ICO, quotas, will be short-lived, Dutch roasters said. ""The fall is a technical and emotional reaction to the failure to agree on reintroduction of ICO export quotas, but it will not be long before reality reasserts itself and prices rise again,"" a spokesman for one of the major Dutch roasters said. ""The fact is that while there are ample supplies of coffee available at present, there is a shortage of quality,"" he said. ""Average prices fell to around 110 cents a lb following the news of the breakdown but we expect them to move back again to around 120 cents within a few weeks,"" the roaster added. Dutch Coffee Roasters' Association secretary Jan de Vries said although the roasters were disappointed at the failure of consumer and producer ICO representatives to agree on quota reintroduction, it was equally important that quotas be reallocated on a more equitable basis. ""There is no absolute need for quotas at this moment because the market is well balanced and we must not lose this opportunity to renegotiate the coffee agreement,"" he said. ""There is still a lot of work to be done on a number of clauses of the International Coffee Agreement and we would not welcome quota reintroduction until we have a complete renegotiation,"" de Vries added. With this in mind, and with Dutch roasters claiming to have fairly good forward cover, the buying strategy for the foreseeable future would probably be to buy coffee on a hand-to-mouth basis and on a sliding scale when market prices were below 120 cents a lb, roasters said. Reuter ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICCO delegates accept principles of buffer stock compromise as negotiation base. ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YEUTTER REPEATS RETALIATION THREAT ON EC OIL TAX. U.S. Trade Representative Clayton Yeutter said the United States will retaliate if the European Community adopts a proposed tax on vegetable oils, but he did not say what EC products would be singled-out for reprisal. Speaking to the National Grain and Feed Association (NGFA) convention here, Yeutter said he is ""cautiously optimistic"" the controversial oils tax proposal will be rejected by the EC Council of Ministers. Yeutter said the proposed tax is a ""flagrant violation of the spirit of GATT"" because it would imperil the zero binding duty on U.S. exports of soybeans to Europe. He said the Reagan administration has yet to decide on a retaliation list. The administration would not reveal a retaliation list unless the EC approved the proposal, he said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"VEGETABLE OILS MAY TIGHTEN DESPITE SEED SURPLUS. Lower production of coconut and palm oils could lead to a decline in vegetable oil stocks this year despite growing supplies of oilseeds, senior oilseeds analyst for Merrill Lynch Capital Markets Mario Balletto said. Balletto told a conference of Canadian farmers at Alberta Agriculture's annual farm outlook conference that the world vegetable oil situation is one of potentially tight supplies. ""Prices for edible oils appear to have more upside potential reflecting strong world demand and an unprecedented decline in the production of tree oils,"" Balletto said. Balletto estimated production of palm, coconut and palm kernel oils this year at 8.5 mln tonnes, down from 9.1 mln tonnes last year, enough to offset higher oilseed output. He estimated total vegetable oil production this year at 33.4 mln tonnes, up from 33.0 mln last year, and disappearance at 34.0 mln tonnes, up from 32.6 mln. Unless oilseed crushing increases sharply, he said, disappearance of vegetable oils could exceed production by 600,000 tonnes, the largest deficit since 1976. ""If world protein meal demand stagnates, thus limiting the crush of soybeans ... the need for serious supply rationing in the edible oils sector could develop,"" he said. ""This would be relatively favorable for the prices of high oil yielding seeds,"" Balletto said. Oilseeds, on the other hand, remain at depressed prices because of burdensome supplies, he said. World ending stocks of oilseeds are estimated to increase for the fourth straight year to a record 28.4 mln tonnes, compared with 25.4 mln last year. The increase should result from lower disappearance, as production is expected to fall to 184.0 mln tonnes from 185.7 mln last year, he said. World soybean production in 1987 totalled a record 98.9 mln tonnes, up from 90.6 mln the previous year, Balletto said, while production of other oilseeds was lower. Higher soybean production in South America and Europe made up for lower production in the United States, he said. Soybeans account for the bulk of the surplus, and U.S. stocks make up most of those, Balletto said. The Commodity Credit Corporation owned 12.7 mln tonnes, about half of the world soybean surplus, he said. Since 1983-84, he said, world oilseed stocks have increased 13.1 mln tonnes. ""During the same period, U.S. soybean stocks increased 12.1 mln tonnes, becoming the dumping ground of the entire world surplus, courtesy of the CCC and highlighting the artificially high prices caused by the U.S. loan program."" ""Soybean prices and, to a great extent, world oilseeds prices are likely to be dominated by the loan program, as long as the U.S. soybean surplus continues. For the 1987 crop, he said, prices are likely to hover in a range tied to the U.S. loan program. ""Upside potential for prices is limited by the huge supply overhang while strong underlying support is provided by the U.S. loan rate."" The problem is likely to become worse as the artificially high prices encourage producers in South America, Canada and Australia to shift from grains to oilseeds, Balletto said. Reuter ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MAURITIAN SUGAR EXPORTS FALL IN FEBRUARY. Mauritius exported 47,144 tonnes of sugar (tel quel) in February, down from 57,911 tonnes (tel quel) shipped in January and 89,351 in February 1986, the Mauritius Chamber of Agriculture's Sugar News Bulletin said. Opening stocks at the beginning of last month totalled 320,057 tonnes, against 288,406 tonnes at the start of February last year. Closing stocks at the end of February were 270,212 tonnes, up from 196,309 tonnes at end-February 1986. The estimate for 1986 sugar production was unchanged from last month at 748,472 tonnes, raw value, the Chamber said. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"U.K. INTERVENTION FEED WHEAT SOLD TO HOME MARKET. A total of 126,031 tonnes of U.K. Intervention feed wheat was sold to the home market at this week's tender, provisional results show, the Home Grown Cereals Authority (HGCA), said. Actual prices were not reported but the wheat was sold at, or above, the March intervention price of 119.17 stg per tonne. Grain traders sought to buy about 340,000 tonnes. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AUSTRALIAN GOVERNMENT TO PAY SUBSIDIES--USDA. The Australian Government will likely reimburse the Australian Wheat Board, AWB, about 132 mln (U.S.) dlrs to pay wheat farmers for their 1986/87 crop, the U.S. Agriculture Department said. In its report on Export Markets for U.S. Grains, the department said the sharp fall in world wheat prices has reduced the export sales revenue of the AWB to levels insufficient to cover its breakeven export price estimated at around 98 dlrs per tonne. For example the recent large sales of wheat to China (1.5 mln tonnes) and Egypt (2.0 mln tonnes) were well below the breakeven export price, it said. Australian wheat farmers normally receive an advance payment known as the Guaranteed Minimum Price, GMP, calculated at 90 pct of the average of estimated returns in the current year and the two lowest of the previous three years, the department said. In addition, deductions for taxes, freight, handling and storage are deducted from the GMP the farmer receives. But the department said the Australian Bureau of Agricultural Economics, BAE, predicts wheat production will drop sharply from 17.8 mln tonnes in 1986/87 to 13.5 mln in 1989/90. The decline will result from low world grain prices leading to shifts to livestock and other crops which could benefit U.S. wheat exports, the department said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
